"CD_REF","NOM_VALIDE","buds","bark","leaves","flowers","fruit","seed","seedling","aboveground_part","underground_part","whole_plant","sap"
101412,"Herniaria hirsuta L., 1753",1,1,1,1,1,1,1,1,1,1,1
101460,"Hesperis matronalis L., 1753",1,1,1,1,1,1,1,1,1,1,1
102235,"Hieracium murorum L., 1753",1,1,1,1,1,1,1,1,1,1,1
102671,"Hieracium umbellatum L., 1753",1,1,1,1,1,1,1,1,1,1,1
102863,"Hippophae rhamnoides L., 1753",1,1,1,1,1,1,1,1,1,1,1
103031,"Humulus lupulus L., 1753",1,1,1,1,1,1,1,1,1,1,1
103057,"Hyacinthoides non-scripta (L.) Chouard ex Rothm., 1944",1,1,1,1,1,1,1,1,1,1,1
103162,"Hylotelephium telephium (L.) H.Ohba, 1977",1,1,1,1,1,1,1,1,1,1,1
103178,"Hyoscyamus albus L., 1753",1,1,1,1,1,1,1,1,1,1,1
103185,"Hyoscyamus niger L., 1753",1,1,1,1,1,1,1,1,1,1,1
103245,"Hypericum androsaemum L., 1753",1,1,1,1,1,1,1,1,1,1,1
103308,"Hypericum nummularium L., 1753",1,1,1,1,1,1,1,1,1,1,1
103316,"Hypericum perforatum L., 1753",1,1,1,1,1,1,1,1,1,1,1
103320,"Hypericum pulchrum L., 1753",1,1,1,1,1,1,1,1,1,1,1
103329,"Hypericum tetrapterum Fr., 1823",1,1,1,1,1,1,1,1,1,1,1
103375,"Hypochaeris radicata L., 1753",1,1,1,1,1,1,1,1,1,1,1
103406,"Hyssopus officinalis L., 1753",1,1,1,1,1,1,1,1,1,1,1
103514,"Ilex aquifolium L., 1753",1,1,1,1,1,1,1,1,1,1,1
