"CD_REF","LB_NOM","FAMILLE","nombre_protections","nombre_reglementations","LRM","LRN","Provence-Alpes-Côte-d'Azur","Limousin","Centre","Poitou-Charentes","Franche-Comté","Aquitaine","Corse","Haute-Normandie","Basse-Normandie","Pays-de-la-Loire","Nord-Pas-de-Calais","Champagne-Ardenne","Picardie","Ile-de-France","Midi-Pyrénées","Auvergne","Bretagne","Bourgogne","Lorraine","Alsace","Rhône-Alpes","Hauts-de-France","harvested"
127429,"Trifolium patens","Fabaceae",0,0,NA,"LC","EN","LC","EN","NT","LC","LC","LC","EN","VU","NT","RE","EN","RE","DD","LC","NE","VU","EN",NA,NA,"DD",NA,"not harvested"
127436,"Trifolium phleoides","Fabaceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
127439,"Trifolium pratense","Fabaceae",0,0,"LC","LC",NA,"LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC",NA,"harvested"
127451,"Trifolium purpureum","Fabaceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,"DD",NA,"not harvested"
127454,"Trifolium repens","Fabaceae",0,0,NA,"LC",NA,"LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC",NA,"not harvested"
127457,"Trifolium resupinatum","Fabaceae",0,0,NA,"LC",NA,NA,NA,"LC",NA,"LC","LC",NA,"VU","LC",NA,NA,NA,NA,"VU",NA,"LC",NA,NA,NA,"VU",NA,"not harvested"
127458,"Trifolium retusum","Fabaceae",1,0,NA,"NT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,"VU",NA,"not harvested"
127463,"Trifolium rubens","Fabaceae",1,0,NA,"LC",NA,"LC","LC","LC","LC","LC",NA,NA,NA,"NT",NA,"LC","RE","VU","LC","LC",NA,"LC","LC","VU","LC",NA,"not harvested"
127469,"Trifolium saxatile","Fabaceae",3,0,"NT","LC","VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,"not harvested"
127470,"Trifolium scabrum","Fabaceae",1,0,"LC","LC",NA,"NT","NT","LC","LC","LC","LC","NT","LC","LC","LC","VU","EN","VU","LC","LC","LC","LC","CR","EN","LC",NA,"not harvested"
127482,"Trifolium spadiceum","Fabaceae",1,0,NA,"LC",NA,"RE",NA,NA,"NT",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC","LC",NA,NA,NA,"CR*","LC",NA,"not harvested"
127488,"Trifolium spumosum","Fabaceae",1,0,NA,"DD",NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
160269,"Trifolium squamosum","Fabaceae",2,0,NA,"LC",NA,NA,"EN","LC",NA,"LC","DD","CR","CR","LC",NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,"not harvested"
127490,"Trifolium squarrosum","Fabaceae",1,0,NA,"DD",NA,NA,NA,NA,NA,"DD","NT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
127491,"Trifolium stellatum","Fabaceae",1,0,NA,"LC",NA,NA,NA,"EN",NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,"LC",NA,"not harvested"
127495,"Trifolium striatum","Fabaceae",1,0,NA,"LC",NA,"LC","LC","LC","NT","LC","LC","LC","LC","LC","VU","EN","EN","VU","LC","LC","LC","LC","NT","NT","LC",NA,"not harvested"
