"","CD_REF","LB_NOM","FAMILLE","FR"
"46",79913,"Achillea nana","Asteraceae","P"
"47",79914,"Achillea nobilis","Asteraceae","P"
"48",79915,"Achillea odorata","Asteraceae","P"
"49",79921,"Achillea ptarmica","Asteraceae","P"
"50",79923,"Achillea roseo-alba","Asteraceae","P"
"51",79939,"Achillea tomentosa","Asteraceae","P"
"52",717051,"Achnatherum bromoides","Poaceae","P"
"53",79970,"Achnatherum calamagrostis","Poaceae","P"
"54",610607,"Acis fabrei","Amaryllidaceae","E"
"55",80000,"Acis longifolia","Amaryllidaceae","E"
"56",610608,"Acis nicaeensis","Amaryllidaceae","E"
"57",80003,"Acis rosea","Amaryllidaceae","P"
"58",80007,"Aconitum anthora","Ranunculaceae","P"
"59",80034,"Aconitum lycoctonum","Ranunculaceae","P"
"60",80037,"Aconitum napellus","Ranunculaceae","P"
"61",80066,"Aconitum variegatum","Ranunculaceae","P"
"62",80086,"Acorus calamus","Acoraceae","I"
"63",80137,"Actaea spicata","Ranunculaceae","P"
"64",80155,"Adenocarpus complicatus","Fabaceae","P"
"65",80162,"Adenocarpus telonensis","Fabaceae","P"
"66",80183,"Adenostyles alliariae","Asteraceae","P"
"67",80184,"Adenostyles alpina","Asteraceae","P"
"68",80190,"Adenostyles leucophylla","Asteraceae","P"
"69",447951,"Adiantum capillus-veneris","Pteridaceae","P"
"70",447953,"Adiantum raddianum","Pteridaceae","I"
"71",80211,"Adonis aestivalis","Ranunculaceae","P"
"72",80212,"Adonis annua","Ranunculaceae","P"
"73",80224,"Adonis flammea","Ranunculaceae","P"
"74",80232,"Adonis microcarpa","Ranunculaceae","I"
"75",80238,"Adonis pyrenaica","Ranunculaceae","S"
"76",80240,"Adonis vernalis","Ranunculaceae","P"
"77",80243,"Adoxa moschatellina","Viburnaceae","P"
"78",80263,"Aegilops biuncialis","Poaceae","I"
"79",159514,"Aegilops caudata","Poaceae","M"
"80",610756,"Aegilops crassa","Poaceae","M"
"81",80270,"Aegilops cylindrica","Poaceae","I"
"82",80278,"Aegilops geniculata","Poaceae","P"
"83",80282,"Aegilops juvenalis","Poaceae","M"
"84",80288,"Aegilops neglecta","Poaceae","P"
"85",80297,"Aegilops speltoides","Poaceae","M"
"86",80302,"Aegilops triuncialis","Poaceae","P"
"87",80304,"Aegilops ventricosa","Poaceae","I"
"88",80322,"Aegopodium podagraria","Apiaceae","P"
"89",80329,"Aeluropus littoralis","Poaceae","P"
"90",80332,"Aeonium haworthii","Crassulaceae","I"
"91",80338,"Aesculus carnea","Sapindaceae","M"
"92",80334,"Aesculus hippocastanum","Sapindaceae","I"
"93",80347,"Aethionema monospermum","Brassicaceae","P"
"94",80350,"Aethionema saxatile","Brassicaceae","P"
"95",80351,"Aethionema thomasianum","Brassicaceae","P"
"96",80358,"Aethusa cynapium","Apiaceae","P"
"97",80383,"Agave americana","Asparagaceae","I"
"98",610762,"Agave salmiana","Asparagaceae","I"
"99",80387,"Ageratina adenophora","Asteraceae","I"
"100",80410,"Agrimonia eupatoria","Rosaceae","P"
"101",80417,"Agrimonia procera","Rosaceae","P"
"102",80446,"Agropyron cristatum","Poaceae","P"
"103",80546,"Agrostemma githago","Caryophyllaceae","P"
"104",80564,"Agrostis alpina","Poaceae","P"
"105",80590,"Agrostis canina","Poaceae","P"
"106",80591,"Agrostis capillaris","Poaceae","P"
"107",80593,"Agrostis castellana","Poaceae","P"
"108",80605,"Agrostis curtisii","Poaceae","P"
"109",80639,"Agrostis gigantea","Poaceae","P"
"110",80645,"Agrostis hesperica","Poaceae","P"
"111",610789,"Agrostis marysae-tortiae","Poaceae","E"
"112",80729,"Agrostis rupestris","Poaceae","P"
"113",80735,"Agrostis scabra","Poaceae","M"
"114",80739,"Agrostis schleicheri","Poaceae","P"
"115",80741,"Agrostis schraderiana","Poaceae","P"
"116",80759,"Agrostis stolonifera","Poaceae","P"
"117",80798,"Agrostis vinealis","Poaceae","P"
"118",80824,"Ailanthus altissima","Simaroubaceae","J"
"119",80846,"Aira armoricana","Poaceae","P"
"120",80857,"Aira caryophyllea","Poaceae","P"
"121",80864,"Aira cupaniana","Poaceae","P"
"122",80871,"Aira elegantissima","Poaceae","P"
"123",80902,"Aira multiculmis","Poaceae","P"
"124",80911,"Aira praecox","Poaceae","P"
"125",80912,"Aira provincialis","Poaceae","P"
"126",80923,"Aira tenorei","Poaceae","P"
"127",971406,"Airopsis tenella","Poaceae","P"
"128",80978,"Ajuga chamaepitys","Lamiaceae","P"
